product.value_73,product_price.price_type,product_abstract_store.store_name,product_price.currency,product.value_75,product_price.price_data.volume_prices,concrete_sku,product.value_10
TRUE,DEFAULT,DE,EUR,1253,,14824_A299574,MER000001
TRUE,DEFAULT,DE,EUR,1258,,14824_A299574,MER000002
TRUE,DEFAULT,DE,EUR,1263,,14824_A299509,MER000001
TRUE,DEFAULT,DE,EUR,1268,,14824_A299444,MER000001
TRUE,DEFAULT,DE,EUR,1273,,14824_A298579,MER000001
TRUE,DEFAULT,DE,EUR,1278,,14824_A298575,MER000001
TRUE,DEFAULT,DE,EUR,1283,,14824_A298573,MER000001
TRUE,DEFAULT,DE,EUR,1288,,14824_A298561,MER000001
TRUE,DEFAULT,DE,EUR,1293,,14824_A298560,MER000001
TRUE,DEFAULT,DE,EUR,1298,,14824_A295392,MER000001
TRUE,DEFAULT,DE,EUR,1303,,14824_A295392,MER000002
TRUE,DEFAULT,DE,EUR,1308,,14824_A295382,MER000001
TRUE,DEFAULT,DE,EUR,1313,,14824_A295382,MER000002
TRUE,DEFAULT,DE,EUR,1318,,14824_A295352,MER000001
TRUE,DEFAULT,DE,EUR,1323,,14824_A293175,MER000001
TRUE,DEFAULT,DE,EUR,1328,,14824_A293175,MER000002
TRUE,DEFAULT,DE,EUR,1333,,14824_A293173,MER000001
TRUE,DEFAULT,DE,EUR,1338,,14824_A293173,MER000002
TRUE,DEFAULT,DE,EUR,1343,,14824_A293172,MER000001
TRUE,DEFAULT,DE,EUR,1348,,14824_A293172,MER000002
TRUE,DEFAULT,DE,EUR,1353,,14824_A293171,MER000001
TRUE,DEFAULT,DE,EUR,1358,,14824_A293171,MER000002
TRUE,DEFAULT,DE,EUR,1363,,14824_A293169,MER000001
TRUE,DEFAULT,DE,EUR,1368,,14824_A293169,MER000002
TRUE,DEFAULT,DE,EUR,1373,,14824_A293169,MER000006
TRUE,DEFAULT,DE,EUR,1378,,14824_A293167,MER000001
TRUE,DEFAULT,DE,EUR,1383,,14824_A293167,MER000002
TRUE,DEFAULT,DE,EUR,1388,,14824_A293167,MER000006
TRUE,DEFAULT,DE,EUR,1393,,14824_A293161,MER000001
TRUE,DEFAULT,DE,EUR,1398,,14824_A293161,MER000002
TRUE,DEFAULT,DE,EUR,1403,,14824_A293123,MER000001
TRUE,DEFAULT,DE,EUR,1408,,14824_A293123,MER000002
TRUE,DEFAULT,DE,EUR,1413,,14824_A293123,MER000006
TRUE,DEFAULT,DE,EUR,1418,,14824_A293116,MER000001
